task_name,total_models_tested,models_that_resolve,resolving_models,non_resolving_models,model_resolve_rate
path-tracing,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
path-tracing-reverse,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
polyglot-c-py,16,1,['grok-4-0709'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0625
polyglot-rust-c,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
port-compressor,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
prove-plus-comm,16,11,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8']",0.6875
pypi-server,16,6,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-pro', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.375
pytorch-model-cli,16,1,['grok-4-0709'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0625
pytorch-model-recovery,16,6,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'grok-code-fast-1']","['OpenAI/gpt-oss-20B', 'gemini-2.5-flash', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.375
qemu-alpine-ssh,16,2,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.125
qemu-startup,16,2,"['gpt-5', 'gpt-5-mini']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.125
regex-log,16,7,"['claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'grok-4-0709']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'deepseek-ai/DeepSeek-V3.1', 'gpt-5-nano', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.4375
reshard-c4-data,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
reverse-engineering,16,1,['gpt-5'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0625
run-pdp11-code,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
sanitize-git-repo,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
schemelike-metacircular-eval,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
sparql-university,16,2,"['gemini-2.5-pro', 'gpt-5']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.125
sqlite-db-truncate,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
sqlite-with-gcov,16,8,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5-mini', 'gpt-5-nano', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']","['OpenAI/gpt-oss-20B', 'claude-sonnet-4-20250514', 'gemini-2.5-flash', 'gpt-5', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905']",0.5
torch-tensor-parallelism,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
train-fasttext,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
tune-mjcf,16,1,['gemini-2.5-flash'],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0625
video-processing,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
vulnerable-secret,16,4,"['claude-opus-4-1-20250805', 'gemini-2.5-pro', 'grok-4-0709', 'grok-code-fast-1']","['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.25
wasm-pipeline,16,4,"['Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-sonnet-4-20250514', 'gpt-5', 'gpt-5-mini']","['OpenAI/gpt-oss-20B', 'claude-opus-4-1-20250805', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.25
winning-avg-corewars,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
write-compressor,16,0,[],"['OpenAI/gpt-oss-20B', 'Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8', 'claude-opus-4-1-20250805', 'claude-sonnet-4-20250514', 'deepseek-ai/DeepSeek-V3.1', 'gemini-2.5-flash', 'gemini-2.5-pro', 'gpt-5', 'gpt-5-mini', 'gpt-5-nano', 'grok-4-0709', 'grok-code-fast-1', 'meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8', 'moonshotai/Kimi-K2-Instruct-0905', 'openai/gpt-oss-120b', 'zai-org/GLM-4.5-Air-FP8']",0.0
